วันที่,สาขา,รายละเอียด,ประเภท,รายรับ,รายจ่าย,ยอดรวม
16/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,3140,,129325.69
17/01/2026,B1,ยอดขายเงินสด,Sales-Cash,5670,,134995.69
17/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,5970,,140965.69
17/01/2026,B1,Unknown,COGS,,400,140565.69
17/01/2026,B1,แตงโม 40 ลูก,COGS,,3200,137365.69
17/01/2026,B1,Unknown,COGS,,60,137305.69
18/01/2026,B1,ยอดขายเงินสด,Sales-Cash,5860,,143165.69
18/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,3360,,146525.69
19/01/2026,B1,ยอดขายเงินสด,Sales-Cash,5650,,152175.69
19/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,2040,,154215.69
19/01/2026,B1,ค่าขนส่ง,COGS,,349,153866.69
20/01/2026,B1,ยอดขายเงินสด,Sales-Cash,4060,,157926.69
20/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,3410,,161336.69
20/01/2026,B1,Unknown,COGS,,400,160936.69
20/01/2026,B1,แก้วฝา 2,COGS,,2702,158234.69
20/01/2026,B1,แตงโม 40,COGS,,3200,155034.69
21/01/2026,B1,ยอดขายเงินสด,Sales-Cash,4840,,159874.69
21/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,4110,,163984.69
21/01/2026,B1,ค่าขนส่ง,COGS,,675,163309.69
22/01/2026,B1,ยอดขายเงินสด,Sales-Cash,3630,,166939.69
22/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,3770,,170709.69
23/01/2026,B1,ยอดขายเงินสด,Sales-Cash,5630,,176339.69
23/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,4170,,180509.69
23/01/2026,B1,ค่าส้ม20ตะกร้า,COGS,,7120,173389.69
23/01/2026,B1,Unknown,COGS,,400,172989.69
23/01/2026,B1,Unknown,COGS,,400,172589.69
23/01/2026,B1,แตงโม 40 ลูก,COGS,,3200,169389.69
24/01/2026,B1,ยอดขายเงินสด,Sales-Cash,6870,,176259.69
24/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,5080,,181339.69
25/01/2026,B1,ยอดขายเงินสด,Sales-Cash,6160,,187499.69
25/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,6050,,193549.69
25/01/2026,B1,ส้ม5ตะกร้า แตงโม 40 ลูก,COGS,,5950,187599.69
25/01/2026,B1,ค่าส่งฝา,COGS,,114,187485.69
26/01/2026,B1,ยอดขายเงินสด,Sales-Cash,5390,,192875.69
26/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,2350,,195225.69
26/01/2026,B1,ค่าส้ม 30 ตะกร้า,COGS,,10680,184545.69
26/01/2026,B1,Unknown,COGS,,400,184145.69
26/01/2026,B1,Unknown,COGS,,400,183745.69
27/01/2026,B1,ยอดขายเงินสด,Sales-Cash,4240,,187985.69
27/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,4830,,192815.69
27/01/2026,B1,ถุงมือ - 5 กล่อง,COGS,,1077,191738.69
28/01/2026,B1,ยอดขายเงินสด,Sales-Cash,5180,,196918.69
28/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,3110,,200028.69
28/01/2026,B1,ค่าส่ง,COGS,,486,199542.69
28/01/2026,B1,Unknown,COGS,,400,199142.69
28/01/2026,B1,ค่าแตงโม 50 ลูก,COGS,,4000,195142.69
28/01/2026,B1,Unknown,COGS,,400,194742.69
28/01/2026,B1,ค่าส่ง,COGS,,486,194256.69
28/01/2026,B1,แตงโม 50 ลูก,COGS,,4000,190256.69
29/01/2026,B1,ยอดขายเงินสด,Sales-Cash,7270,,197526.69
29/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,3220,,200746.69
30/01/2026,B1,ยอดขายเงินสด,Sales-Cash,4450,,205196.69
30/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,4260,,209456.69
30/01/2026,B1,แตงโม 25 ลูก,COGS,,2000,207456.69
30/01/2026,B1,แอปเปิ้ล เมล่อน,COGS,,851,206605.69
31/01/2026,B1,ยอดขายเงินสด,Sales-Cash,6180,,212785.69
31/01/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,6560,,219345.69
31/01/2026,B1,เงินเดือนเมนมกราคม,OPEX,,19000,200345.69
01/02/2026,B1,ยอดขายเงินสด,Sales-Cash,6500,,206845.69
01/02/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,5220,,212065.69
02/02/2026,ALL,ส่วนแบ่งกำไร Blessme (Jan26) [วันที่ประมาณ],DISTRIBUTION,,75767.4,136298.29
02/02/2026,ALL,ส่วนแบ่งกำไร Ming (Jan26) [วันที่ประมาณ],DISTRIBUTION,,50511.6,85786.69
02/02/2026,B1,ยอดขายเงินสด,Sales-Cash,6840,,92626.69
02/02/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,2990,,95616.69
02/02/2026,B1,ส้ม 30 ตะกร้า,COGS,,10680,84936.69
02/02/2026,B1,แตงโม 50 ลูก,COGS,,4000,80936.69
02/02/2026,B1,Unknown,COGS,,2000,78936.69
03/02/2026,B1,ยอดขายเงินสด,Sales-Cash,6570,,85506.69
03/02/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,4390,,89896.69
04/02/2026,B1,ยอดขายเงินสด,Sales-Cash,5960,,95856.69
04/02/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,3410,,99266.69
04/02/2026,B1,ฝา 690 1000 ชิ้น แก้ว 1196 1000 ชิ้น หลอด 421,COGS,,2023,97243.69
05/02/2026,B1,ยอดขายเงินสด,Sales-Cash,3830,,101073.69
05/02/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,5860,,106933.69
05/02/2026,B1,แตงโม 50 ลูก,COGS,,4000,102933.69
05/02/2026,B1,แก้วสกรีน อย่างเดียวไม่รวมฝา 2280บาท,COGS,,2280,100653.69
06/02/2026,B1,ยอดขายเงินสด,Sales-Cash,6880,,107533.69
06/02/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,4010,,111543.69
07/02/2026,B1,ยอดขายเงินสด,Sales-Cash,4890,,116433.69
07/02/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,7470,,123903.69
08/02/2026,B1,ยอดขายเงินสด,Sales-Cash,5280,,129183.69
08/02/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,3470,,132653.69
08/02/2026,B1,Unknown,COGS,,798,131855.69
08/02/2026,B1,แตงโม 50,COGS,,4000,127855.69
08/02/2026,B1,Unknown,COGS,,2000,125855.69
09/02/2026,B1,ยอดขายเงินสด,Sales-Cash,6680,,132535.69
09/02/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,4420,,136955.69
09/02/2026,B1,ส้ม 30 ตะกร้า,COGS,,10680,126275.69
09/02/2026,B1,ค่าส่งส้ม,COGS,,685,125590.69
10/02/2026,B1,ยอดขายเงินสด,Sales-Cash,7820,,133410.69
10/02/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,4965,,138375.69
10/02/2026,B1,ค่าไฟเดือนมค,COGS,,389,137986.69
11/02/2026,B1,ยอดขายเงินสด,Sales-Cash,7320,,145306.69
11/02/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,5030,,150336.69
11/02/2026,B1,แตงโม 50 ลูก,COGS,,4000,146336.69
12/02/2026,B1,ยอดขายเงินสด,Sales-Cash,8030,,154366.69
12/02/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,3790,,158156.69
13/02/2026,B1,ยอดขายเงินสด,Sales-Cash,7390,,165546.69
13/02/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,5280,,170826.69
14/02/2026,B1,ยอดขายเงินสด,Sales-Cash,6420,,177246.69
14/02/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,5900,,183146.69
14/02/2026,B1,Unknown,OPEX,,4000,179146.69
14/02/2026,B1,Unknown,COGS,,350,178796.69
15/02/2026,B1,ยอดขายเงินสด,Sales-Cash,7480,,186276.69
15/02/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,5930,,192206.69
16/02/2026,B1,ยอดขายเงินสด,Sales-Cash,6650,,198856.69
16/02/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,3730,,202586.69
16/02/2026,B1,ค่าส่งส้ม,COGS,,485,202101.69
16/02/2026,B1,ค่าส้ม 30 ตะกร้า 13/2/69,COGS,,10680,191421.69
17/02/2026,B1,ยอดขายเงินสด,Sales-Cash,7150,,198571.69
17/02/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,5570,,204141.69
18/02/2026,B1,ยอดขายเงินสด,Sales-Cash,10140,,214281.69
18/02/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,4460,,218741.69
19/02/2026,B1,ยอดขายเงินสด,Sales-Cash,8900,,227641.69
19/02/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,6520,,234161.69
19/02/2026,B1,แตงโม 50 ลูก วันที่ 1719,COGS,,8000,226161.69
19/02/2026,B1,แก้ว,COGS,,3315,222846.69
19/02/2026,B1,แก้วสกรีน2ลัง(รอบที่1นะ แบ่งสั่งจะได้ไม่มีค่า,COGS,,6655,216191.69
19/02/2026,B1,Unknown,COGS,,2000,214191.69
20/02/2026,B1,ยอดขายเงินสด,Sales-Cash,10900,,225091.69
20/02/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,5850,,230941.69
20/02/2026,B1,ผ้าปิดร้าน 218 ค่ารถ 198,COGS,,416,230525.69
21/02/2026,B1,ยอดขายเงินสด,Sales-Cash,9720,,240245.69
21/02/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,6910,,247155.69
22/02/2026,B1,ยอดขายเงินสด,Sales-Cash,10170,,257325.69
22/02/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,5650,,262975.69
23/02/2026,B1,ยอดขายเงินสด,Sales-Cash,7800,,270775.69
23/02/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,4930,,275705.69
23/02/2026,B1,แตงโม 21 50 ลูก 23 50 ลูก,COGS,,8000,267705.69
24/02/2026,B1,ยอดขายเงินสด,Sales-Cash,7930,,275635.69
24/02/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,5390,,281025.69
24/02/2026,B1,Unknown,COGS,,209,280816.69
24/02/2026,B1,ส้ม 30 18/2/69,COGS,,10680,270136.69
24/02/2026,B1,แก้ว 2400 ฝา 1670,COGS,,4070,266066.69
25/02/2026,B1,ยอดขายเงินสด,Sales-Cash,6460,,272526.69
25/02/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,3100,,275626.69
25/02/2026,B1,แตงโม 50,COGS,,4000,271626.69
25/02/2026,B1,Unknown,COGS,,2000,269626.69
25/02/2026,B1,ส้ม20 ตะกร้า,COGS,,7312,262314.69
25/02/2026,B1,ค่าส่งส้ม,COGS,,806,261508.69
26/02/2026,B1,ยอดขายเงินสด,Sales-Cash,5280,,266788.69
26/02/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,3000,,269788.69
26/02/2026,B1,ค่าขวดใหญ่,COGS,,319,269469.69
27/02/2026,B1,ยอดขายเงินสด,Sales-Cash,5370,,274839.69
27/02/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,7955,,282794.69
28/02/2026,B1,ยอดขายเงินสด,Sales-Cash,4440,,287234.69
28/02/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,6060,,293294.69
28/02/2026,B1,ค่าส่งส้ม,COGS,,2237,291057.69
28/02/2026,B1,ค่าส่งส้ม,COGS,,2237,288820.69
28/02/2026,B1,ค่าเช่าสต็อคกพ,OPEX,,12000,276820.69
28/02/2026,B1,แตงโม 50 ลูก,COGS,,4000,272820.69
01/03/2026,B1,ยอดขายเงินสด,Sales-Cash,4670,,277490.69
01/03/2026,B1,ยอดขายเงินโอน,Sales-Transfer,5460,,282950.69
01/03/2026,B2,ยอดขายเงินสด,Sales-Cash,4670,,287620.69
01/03/2026,B2,ยอดขายเงินโอน,Sales-Transfer,5460,,293080.69
02/03/2026,ALL,ส่วนแบ่งกำไร Blessme (Feb26) [วันที่ประมาณ],DISTRIBUTION,,85553.4,207527.29
02/03/2026,ALL,ส่วนแบ่งกำไร Ming (Feb26) [วันที่ประมาณ],DISTRIBUTION,,57035.6,150491.69
02/03/2026,B1,ยอดขายเงินสด,Sales-Cash,7300,,157791.69
02/03/2026,B1,ยอดขายเงินโอน,Sales-Transfer,3290,,161081.69
03/03/2026,B1,ยอดขายเงินสด,Sales-Cash,6520,,167601.69
03/03/2026,B1,ยอดขายเงินโอน,Sales-Transfer,5080,,172681.69
04/03/2026,B1,ยอดขายเงินสด,Sales-Cash,3970,,176651.69
04/03/2026,B1,ยอดขายเงินโอน,Sales-Transfer,1380,,178031.69
04/03/2026,B1,ค่าทางด่วนส่งแตงโม,COGS,,140,177891.69
04/03/2026,B1,มะม่วง 16 โล,COGS,,560,177331.69
05/03/2026,B1,ยอดขายเงินสด,Sales-Cash,4670,,182001.69
05/03/2026,B1,ยอดขายเงินโอน,Sales-Transfer,4090,,186091.69
05/03/2026,B1,มะม่วง 1 ลัง,COGS,,500,185591.69
05/03/2026,B1,ค่าส้มวันที่ 27269,COGS,,7312,178279.69
05/03/2026,B1,"แตงโม 51 ยอด3,500",COGS,,7700,170579.69
05/03/2026,B1,ค่าส้ม 20 ตะกร้า,COGS,,7312,163267.69
05/03/2026,B1,ค่าทางด่วน,COGS,,105,163162.69
05/03/2026,B1,ถุงขยะ,COGS,,909,162253.69
05/03/2026,B1,มะม่วง 24 โล,COGS,,1560,160693.69
06/03/2026,B1,ยอดขายเงินสด,Sales-Cash,7200,,167893.69
06/03/2026,B1,ยอดขายเงินโอน,Sales-Transfer,5590,,173483.69
07/03/2026,B1,ยอดขายเงินสด,Sales-Cash,2630,,176113.69
07/03/2026,B1,ยอดขายเงินโอน,Sales-Transfer,11865,,187978.69
07/03/2026,B1,Unknown,COGS,,2000,185978.69
08/03/2026,B1,ยอดขายเงินสด,Sales-Cash,4580,,190558.69
08/03/2026,B1,ยอดขายเงินโอน,Sales-Transfer,6790,,197348.69
09/03/2026,B1,ยอดขายเงินสด,Sales-Cash,5040,,202388.69
09/03/2026,B1,ยอดขายเงินโอน,Sales-Transfer,2710,,205098.69
10/03/2026,B1,ยอดขายเงินสด,Sales-Cash,5450,,210548.69
10/03/2026,B1,ยอดขายเงินโอน,Sales-Transfer,4310,,214858.69
10/03/2026,B1,09/03/69,COGS,,9804,205054.69
10/03/2026,B1,แตงโม 50 วันที่ 7 แตงโม 50 วันที่ 10,COGS,,8000,197054.69
10/03/2026,B1,Unknown,CAPEX,,6500,190554.69
10/03/2026,B1,แก้ว2ลัง ลังละ 1560,COGS,,3120,187434.69
10/03/2026,B1,แก้วร้านน้ำส้ม 2ลัง ลังละ1560,COGS,,5667,181767.69
11/03/2026,B1,ยอดขายเงินสด,Sales-Cash,5250,,187017.69
11/03/2026,B1,ยอดขายเงินโอน,Sales-Transfer,5060,,192077.69
12/03/2026,B1,ยอดขายเงินสด,Sales-Cash,4030,,196107.69
12/03/2026,B1,ยอดขายเงินโอน,Sales-Transfer,4540,,200647.69
13/03/2026,B1,ยอดขายเงินสด,Sales-Cash,5550,,206197.69
13/03/2026,B1,ยอดขายเงินโอน,Sales-Transfer,4520,,210717.69
13/03/2026,B1,หลอด 20 แพค,COGS,,765,209952.69
14/03/2026,B1,ยอดขายเงินสด,Sales-Cash,4740,,214692.69
14/03/2026,B1,ยอดขายเงินโอน,Sales-Transfer,6290,,220982.69
14/03/2026,B1,แอปเปิ้ลฟูจิ 32,COGS,,350,220632.69
14/03/2026,B1,มะม่วง 2 ลัง 44,COGS,,2420,218212.69
15/03/2026,B1,ยอดขายเงินสด,Sales-Cash,4780,,222992.69
15/03/2026,B1,ยอดขายเงินโอน,Sales-Transfer,5010,,228002.69
15/03/2026,B1,ค่าทางด่วน,COGS,,115,227887.69
15/03/2026,B1,น้ำมะพร้าว 5ขวดเละ 50฿,COGS,,4800,223087.69
16/03/2026,B1,ยอดขายเงินสด,Sales-Cash,3040,,226127.69
16/03/2026,B1,ยอดขายเงินโอน,Sales-Transfer,4590,,230717.69
17/03/2026,B1,ยอดขายเงินสด,Sales-Cash,4130,,234847.69
17/03/2026,B1,ยอดขายเงินโอน,Sales-Transfer,3180,,238027.69
17/03/2026,B1,ค่าไฟเดือนกพ มีนา,COGS,,2779.47,235248.22
18/03/2026,B1,ยอดขายเงินสด,Sales-Cash,2900,,238148.22
18/03/2026,B1,ยอดขายเงินโอน,Sales-Transfer,2620,,240768.22
19/03/2026,B1,ยอดขายเงินสด,Sales-Cash,4900,,245668.22
19/03/2026,B1,ยอดขายเงินโอน,Sales-Transfer,3830,,249498.22
19/03/2026,B1,ค่าแตงโม 18/3/67 51 ลูก 4000 บาท,COGS,,4000,245498.22
20/03/2026,B1,ยอดขายเงินสด,Sales-Cash,4790,,250288.22
20/03/2026,B1,ยอดขายเงินโอน,Sales-Transfer,3130,,253418.22
21/03/2026,B1,ยอดขายเงินสด,Sales-Cash,6120,,259538.22
21/03/2026,B1,ยอดขายเงินโอน,Sales-Transfer,4360,,263898.22
21/03/2026,B1,สกรู กาวตะปู,COGS,,117,263781.22
22/03/2026,B1,ยอดขายเงินสด,Sales-Cash,5250,,269031.22
22/03/2026,B1,ยอดขายเงินโอน,Sales-Transfer,3890,,272921.22
23/03/2026,B1,ยอดขายเงินสด,Sales-Cash,1770,,274691.22
23/03/2026,B1,ยอดขายเงินโอน,Sales-Transfer,4440,,279131.22
23/03/2026,B1,มะม่วง 44 โล,COGS,,2200,276931.22
23/03/2026,B1,22-3-2569,COGS,,5890,271041.22
24/03/2026,B1,ยอดขายเงินสด,Sales-Cash,3940,,274981.22
24/03/2026,B1,ยอดขายเงินโอน,Sales-Transfer,2580,,277561.22
24/03/2026,B1,รถเข็นของคันใหม่,COGS,,1752,275809.22
25/03/2026,B1,ยอดขายเงินสด,Sales-Cash,4920,,280729.22
25/03/2026,B1,ยอดขายเงินโอน,Sales-Transfer,2320,,283049.22
26/03/2026,B1,ยอดขายเงินสด,Sales-Cash,4470,,287519.22
26/03/2026,B1,ยอดขายเงินโอน,Sales-Transfer,3680,,291199.22
27/03/2026,B1,ยอดขายเงินสด,Sales-Cash,6250,,297449.22
27/03/2026,B1,ยอดขายเงินโอน,Sales-Transfer,3320,,300769.22
28/03/2026,B1,ยอดขายเงินสด,Sales-Cash,6030,,306799.22
28/03/2026,B1,ยอดขายเงินโอน,Sales-Transfer,6080,,312879.22
28/03/2026,B1,น้ำมะพร้าว 10 ขวด,COGS,,500,312379.22
28/03/2026,B1,มะม่วง 23 โล,COGS,,1035,311344.22
28/03/2026,B1,แตงโม 50 26/3/69,COGS,,4000,307344.22
29/03/2026,B1,ยอดขายเงินสด,Sales-Cash,5730,,313074.22
29/03/2026,B1,ยอดขายเงินโอน,Sales-Transfer,3970,,317044.22
30/03/2026,B1,ยอดขายเงินสด,Sales-Cash,4690,,321734.22
30/03/2026,B1,ยอดขายเงินโอน,Sales-Transfer,2270,,324004.22
30/03/2026,B1,นมข้นจืดสามลังหนึ่งลังมี 12 กล่อง 36 กล่อง,COGS,,1720,322284.22
30/03/2026,B1,นมข้นหวาน 3 ลัง 24 ถุง,COGS,,2016,320268.22
30/03/2026,B1,แตงโม 30 ลูก 2400 เนื้อมะพร้าว 10 โล 1100,COGS,,3500,316768.22
30/03/2026,B1,ค่าส่ง lalamove,COGS,,2000,314768.22
31/03/2026,B1,ยอดขายเงินสด,Sales-Cash,6730,,321498.22
31/03/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,4640,,326138.22
31/03/2026,B1,Unknown,COGS,,2000,324138.22
01/04/2026,B1,ยอดขายเงินสด,Sales-Cash,6300,,330438.22
01/04/2026,B1,ยอดขายเงินโอน,Sales-Transfer,4280,,334718.22
01/04/2026,B1,ยอดขาย (ยังไม่แยกสด/โอน),Sales-Unsplit,-100,,334618.22
01/04/2026,B1,แอปเปิ้ล 3 ลัง,COGS,,1050,333568.22
01/04/2026,B1,มะม่วง 2 ลัง,COGS,,1920,331648.22
01/04/2026,B1,น้ำ500,COGS,,1700,329948.22
02/04/2026,ALL,ส่วนแบ่งกำไร Blessme (Mar26) [วันที่ประมาณ],DISTRIBUTION,,38701.968,291246.25
02/04/2026,ALL,ส่วนแบ่งกำไร Ming (Mar26) [วันที่ประมาณ],DISTRIBUTION,,25801.312,265444.94
02/04/2026,B1,ยอดขายเงินสด,Sales-Cash,6650,,272094.94
02/04/2026,B1,ยอดขายเงินโอน,Sales-Transfer,4120,,276214.94
02/04/2026,B1,Unknown,COGS,,49560,226654.94
03/04/2026,B1,ยอดขายเงินสด,Sales-Cash,9930,,236584.94
03/04/2026,B1,ยอดขายเงินโอน,Sales-Transfer,4690,,241274.94
04/04/2026,B1,ยอดขายเงินสด,Sales-Cash,7750,,249024.94
04/04/2026,B1,ยอดขายเงินโอน,Sales-Transfer,6578,,255602.94
04/04/2026,B1,แก้ว3ลัง 1539 3 4617,COGS,,7066,248536.94
04/04/2026,B1,แก้ว1ลัง 1539,COGS,,1560,246976.94
04/04/2026,B1,ค่ามะพร้าว 26 60ลูก 1560,COGS,,1980,244996.94
04/04/2026,B1,เนื้อ 1200 น้ำ 500,COGS,,1700,243296.94
04/04/2026,B1,มะม่วง1ลัง,COGS,,1000,242296.94
04/04/2026,B1,ส้ม 4/4/69 20 ตะกร้า 30 บาท 13200 ค่าขนส่ง,COGS,,14160,228136.94
04/04/2026,B1,4/4/68 40 ลูก,COGS,,3200,224936.94
04/04/2026,B1,แตงโม 1/4/69 30 ลูก,COGS,,2400,222536.94
05/04/2026,B1,ยอดขายเงินสด,Sales-Cash,9540,,232076.94
05/04/2026,B1,ยอดขายเงินโอน,Sales-Transfer,7560,,239636.94
06/04/2026,B1,ยอดขายเงินสด,Sales-Cash,8510,,248146.94
06/04/2026,B1,ยอดขายเงินโอน,Sales-Transfer,4100,,252246.94
07/04/2026,B1,ยอดขายเงินสด,Sales-Cash,6420,,258666.94
07/04/2026,B1,ยอดขายเงินโอน,Sales-Transfer,3180,,261846.94
